,Year - Month,Carrier,Destination,Departures,Miles,Seats,Passengers,Seat Utilization,Payload (lbs),Freight (lbs),Mail (lbs)
21,2015-09,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",231,"76,758","16,851","13,830",82%,"4,434,898","1,749",0
22,2015-09,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",15,"10,995","1,140","1,112",98%,"228,000",0,0
23,2015-09,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",942,"886,232","136,594","119,265",87%,"33,088,400","254,814",0
24,2015-09,Spirit Air Lines (Domestic),"New York, NY (LGA)",324,"273,182","60,521","53,211",88%,"12,117,400",0,0
25,2015-09,Tradewind Aviation (Domestic),"New York, NY (LGA)",1,118,8,4,50%,"3,450",0,0
26,2015-09,Trans States Airlines (Domestic),"New York, NY (LGA)",447,"220,274","22,350","14,144",63%,"4,969,746",0,0
27,2015-09,United Air Lines Inc. (Domestic),"New York, NY (LGA)",707,"790,201","102,346","93,457",91%,"26,165,244","17,536",0
28,2015-09,Virgin America (Domestic),"New York, NY (LGA)",106,"146,386","13,382","11,317",85%,"3,991,408",0,0
29,2015-09,Westjet (International),"New York, NY (LGA)",203,"72,471","23,741","16,073",68%,"6,067,281",0,0
1,2015-10,Air Canada (International),"New York, NY (LGA)",401,"143,776","42,270","33,888",80%,"11,349,354","8,692",0
2,2015-10,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",442,"107,692","22,098","15,634",71%,"5,410,080","2,454",0
3,2015-10,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,228","1,539,087","310,154","263,515",85%,"80,896,200","222,187",0
4,2015-10,Avjet Corporation (Domestic),"New York, NY (LGA)",2,"4,920",21,13,62%,"5,000",0,0
5,2015-10,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,056","1,664,615","274,070","221,604",81%,"68,804,274","308,839","42,736"
6,2015-10,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",1,"1,104",189,145,77%,"82,900",0,0
7,2015-10,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,294","864,289","95,677","73,747",77%,"26,905,384",25,0
8,2015-10,Envoy Air (Domestic),"New York, NY (LGA)",635,"331,958","35,344","27,022",76%,"8,876,430","1,409",0
9,2015-10,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",855,"466,824","53,081","38,806",73%,"13,314,780",40,0
10,2015-10,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",84,"94,620","14,208","12,479",88%,"2,841,600",0,0
11,2015-10,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",932,"514,176","65,744","46,553",71%,"16,844,280",0,0
12,2015-10,Jazz Aviation LP (International),"New York, NY (LGA)",75,"24,525","3,750","2,888",77%,"1,125,001",0,0
13,2015-10,JetBlue Airways (Domestic),"New York, NY (LGA)",551,"563,939","81,400","63,582",78%,"20,327,400","13,766",0
14,2015-10,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",63,"16,801","4,428","4,027",91%,"1,163,580",0,0
15,2015-10,Miami Air International (Domestic),"New York, NY (LGA)",1,833,173,151,87%,"42,500",0,0
16,2015-10,Piedmont Airlines (Domestic),"New York, NY (LGA)",5,480,181,124,69%,"43,250",0,0
17,2015-10,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",100,"53,020","5,688","4,171",73%,"1,491,680",600,0
18,2015-10,Republic Airlines (Domestic),"New York, NY (LGA)",512,"250,689","38,493","28,756",75%,"10,845,949",0,0
19,2015-10,Republic Airlines (Latin America),"New York, NY (LGA)",77,"27,489","5,698","4,487",79%,"1,619,189",0,0
20,2015-10,Shuttle America Corp. (Domestic),"New York, NY (LGA)","2,136","1,133,257","141,916","104,094",73%,"38,502,209",0,0
21,2015-10,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",199,"65,400","14,513","11,881",82%,"3,909,338","1,661",0
22,2015-10,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",4,"2,932",304,294,97%,"60,800",0,0
23,2015-10,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",972,"914,925","140,916","122,776",87%,"34,144,800","326,463",0
24,2015-10,Spirit Air Lines (Domestic),"New York, NY (LGA)",338,"285,648","63,476","55,020",87%,"12,722,000",0,0
25,2015-10,Tradewind Aviation (Domestic),"New York, NY (LGA)",1,163,9,1,11%,"3,450",0,0
26,2015-10,Trans States Airlines (Domestic),"New York, NY (LGA)",531,"268,954","26,550","19,883",75%,"5,903,658",0,0
27,2015-10,United Air Lines Inc. (Domestic),"New York, NY (LGA)",774,"853,907","111,527","100,122",90%,"28,751,754","9,260",0
28,2015-10,Via Airlines d/b/a Charter Air Transport (Domestic),"New York, NY (LGA)",1,571,30,26,87%,"6,400",0,0
29,2015-10,Virgin America (Domestic),"New York, NY (LGA)",108,"149,148","13,605","11,363",84%,"4,067,685",0,0
30,2015-10,Westjet (International),"New York, NY (LGA)",205,"73,185","24,163","16,143",67%,"5,840,026",0,0
1,2015-11,Air Canada (International),"New York, NY (LGA)",385,"137,025","41,604","28,899",69%,"11,306,971","8,561",0
2,2015-11,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",454,"137,463","22,700","15,374",68%,"5,556,960","3,467",0
3,2015-11,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,007","1,376,092","280,270","235,633",84%,"73,029,100","188,861",0
4,2015-11,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","1,985","1,617,275","277,859","223,368",80%,"69,146,988","295,885","37,388"
5,2015-11,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,077","731,123","80,060","60,283",75%,"22,545,518",4,0
6,2015-11,Envoy Air (Domestic),"New York, NY (LGA)",246,"152,068","13,852","9,761",70%,"3,490,900",311,0
7,2015-11,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)","1,037","582,366","65,008","45,987",71%,"16,631,640",56,0
8,2015-11,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",58,"53,882","9,600","8,410",88%,"1,920,000",0,0
9,2015-11,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",814,"438,543","57,106","39,198",69%,"14,442,480",0,0
10,2015-11,Jazz Aviation LP (International),"New York, NY (LGA)",95,"30,993","4,750","2,764",58%,"1,424,999",0,0
11,2015-11,JetBlue Airways (Domestic),"New York, NY (LGA)",533,"546,656","79,950","65,023",81%,"19,934,200",0,0
12,2015-11,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",67,"27,213","4,768","4,553",95%,"1,231,180",0,0
13,2015-11,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",124,"58,302","6,802","5,065",74%,"1,751,910","1,892",0
14,2015-11,Republic Airlines (Domestic),"New York, NY (LGA)",592,"325,439","44,234","32,128",73%,"12,511,570",0,0
15,2015-11,Republic Airlines (Latin America),"New York, NY (LGA)",127,"45,339","8,887","6,843",77%,"2,468,060",0,0
16,2015-11,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,975","1,093,700","133,106","91,831",69%,"36,354,601",0,0
17,2015-11,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",53,"17,238","3,879","2,849",73%,"1,049,118",216,0
18,2015-11,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",14,"10,262","1,064",995,94%,"212,800",0,0
19,2015-11,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",919,"878,619","131,507","110,277",84%,"31,797,400","277,669",0
20,2015-11,Spirit Air Lines (Domestic),"New York, NY (LGA)",324,"274,269","58,865","50,820",86%,"15,567,000",0,0
21,2015-11,Trans States Airlines (Domestic),"New York, NY (LGA)",636,"303,186","31,800","21,514",68%,"7,071,048",0,0
22,2015-11,United Air Lines Inc. (Domestic),"New York, NY (LGA)",690,"770,785","99,702","87,900",88%,"25,724,538","7,833",0
23,2015-11,Via Airlines d/b/a Charter Air Transport (Domestic),"New York, NY (LGA)",1,571,30,26,87%,"6,400",0,0
24,2015-11,Virgin America (Domestic),"New York, NY (LGA)",106,"146,386","13,403","11,295",84%,"3,990,775",0,0
25,2015-11,Westjet (International),"New York, NY (LGA)",194,"69,258","23,242","16,940",73%,"5,635,271",0,0
26,2015-11,XTRA Airways (Domestic),"New York, NY (LGA)",1,"1,198",168,130,77%,"35,000",0,0
1,2015-12,Air Canada (International),"New York, NY (LGA)",392,"138,187","40,842","30,386",74%,"10,571,786","7,289",0
2,2015-12,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",379,"111,968","18,950","14,350",76%,"4,638,960","2,923","1,070"
3,2015-12,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,935","1,421,247","276,274","230,996",84%,"71,916,100","156,503","2,889"
4,2015-12,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,388","2,103,298","329,322","254,022",77%,"82,018,982","318,316","55,044"
5,2015-12,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"6,130",598,210,35%,"143,498",0,0
6,2015-12,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,254","753,810","88,961","67,461",76%,"24,776,022",105,0
7,2015-12,Envoy Air (Domestic),"New York, NY (LGA)",1,733,44,34,77%,"10,090",0,0
8,2015-12,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",752,"399,008","46,956","35,004",75%,"11,650,320",55,0
9,2015-12,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",57,"53,120","9,420","7,767",82%,"1,884,000",0,0
10,2015-12,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",698,"389,690","49,658","33,747",68%,"12,975,400",0,0
11,2015-12,Jazz Aviation LP (International),"New York, NY (LGA)",98,"31,977","4,900","3,563",73%,"1,470,001",0,0
12,2015-12,JetBlue Airways (Domestic),"New York, NY (LGA)",554,"567,219","83,100","65,458",79%,"20,719,600",0,0
13,2015-12,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",51,"16,427","3,594","3,360",93%,"940,940",0,0
14,2015-12,Miami Air International (Domestic),"New York, NY (LGA)",2,"1,663",241,58,24%,"72,200",0,0
15,2015-12,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",155,"75,811","8,365","6,695",80%,"2,138,540","2,442",0
16,2015-12,Republic Airlines (Domestic),"New York, NY (LGA)",749,"455,057","54,229","41,367",76%,"15,137,607",0,0
17,2015-12,Republic Airlines (Latin America),"New York, NY (LGA)",134,"47,838","9,549","7,534",79%,"2,669,479",0,0
18,2015-12,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,574","811,299","107,667","76,755",71%,"29,592,756",0,0
19,2015-12,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",152,"49,512","11,096","8,670",78%,"2,835,180","2,541",0
20,2015-12,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",10,"7,330",760,724,95%,"152,000",0,0
21,2015-12,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",939,"896,651","134,291","116,845",87%,"32,450,200","278,930",0
22,2015-12,Spirit Air Lines (Domestic),"New York, NY (LGA)",328,"277,086","61,962","52,040",84%,"18,747,400",0,0
23,2015-12,Tradewind Aviation (Domestic),"New York, NY (LGA)",2,"1,282",16,3,19%,"6,900",0,0
24,2015-12,Trans States Airlines (Domestic),"New York, NY (LGA)",696,"319,296","34,800","25,703",74%,"7,738,128",0,0
25,2015-12,United Air Lines Inc. (Domestic),"New York, NY (LGA)",664,"753,747","96,146","85,239",89%,"24,123,306","9,309",0
26,2015-12,Virgin America (Domestic),"New York, NY (LGA)",117,"161,577","14,811","12,285",83%,"4,404,918",0,0
27,2015-12,Westjet (International),"New York, NY (LGA)",195,"69,615","24,187","16,153",67%,"5,924,158",0,0
1,2016-01,Air Canada (International),"New York, NY (LGA)",347,"122,262","35,958","20,508",57%,"9,561,561","4,261",0
2,2016-01,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",366,"135,951","18,299","9,714",53%,"4,479,840",374,0
3,2016-01,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,963","1,346,132","272,069","211,861",78%,"70,760,700","91,183",0
4,2016-01,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,188","1,775,263","301,801","222,424",74%,"75,136,963","255,657","38,140"
5,2016-01,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",6,"8,338",898,579,64%,"221,256",0,0
6,2016-01,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,194","859,468","88,352","54,052",61%,"24,854,206",128,0
7,2016-01,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",891,"491,966","55,815","31,051",56%,"13,663,960",107,0
8,2016-01,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",59,"54,978","10,530","8,750",83%,"2,106,000",0,0
9,2016-01,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",722,"391,924","51,542","26,944",52%,"13,572,800",0,0
10,2016-01,Jazz Aviation LP (International),"New York, NY (LGA)",90,"29,361","4,500","2,404",53%,"1,350,000",0,0
11,2016-01,JetBlue Airways (Domestic),"New York, NY (LGA)",528,"541,469","79,200","63,564",80%,"19,747,200",0,0
12,2016-01,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",59,"23,007","4,184","3,942",94%,"1,085,740",0,0
13,2016-01,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",193,"94,812","10,274","6,820",66%,"2,608,560","1,171",0
14,2016-01,Republic Airlines (Domestic),"New York, NY (LGA)",969,"645,460","69,734","41,936",60%,"19,397,489",0,0
15,2016-01,Republic Airlines (Latin America),"New York, NY (LGA)",108,"38,556","7,612","5,866",77%,"2,105,312",0,0
16,2016-01,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,390","645,582","92,338","50,774",55%,"25,033,367",0,0
17,2016-01,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",147,"48,057","10,733","5,978",56%,"2,813,736","2,897",0
18,2016-01,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",74,"54,094","5,624","4,921",88%,"1,124,800",0,0
19,2016-01,Songbird Airways Inc. (Domestic),"New York, NY (LGA)",1,511,150,85,57%,"35,000",0,0
20,2016-01,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",870,"830,893","125,096","95,289",76%,"30,247,600","7,791",0
21,2016-01,Spirit Air Lines (Domestic),"New York, NY (LGA)",309,"260,998","57,744","48,981",85%,"11,552,800",0,0
22,2016-01,Trans States Airlines (Domestic),"New York, NY (LGA)",483,"229,618","24,150","14,523",60%,"5,369,994",0,0
23,2016-01,United Air Lines Inc. (Domestic),"New York, NY (LGA)",582,"685,405","83,652","70,438",84%,"20,662,542","5,454",0
24,2016-01,Virgin America (Domestic),"New York, NY (LGA)",101,"139,481","12,643","9,625",76%,"3,805,463",0,0
25,2016-01,Westjet (International),"New York, NY (LGA)",191,"68,187","23,132","14,557",63%,"5,622,940",0,0
26,2016-01,XTRA Airways (Domestic),"New York, NY (LGA)",1,208,179,43,24%,"75,830",0,0
1,2016-02,Air Canada (International),"New York, NY (LGA)",335,"118,176","34,899","22,435",64%,"9,280,543","5,238",0
2,2016-02,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",337,"122,598","16,850","8,889",53%,"4,124,880","1,583",0
3,2016-02,American Airlines Inc. (Domestic),"New York, NY (LGA)","1,980","1,348,212","274,443","207,724",76%,"71,147,200","169,669",0
4,2016-02,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,134","1,732,849","299,360","217,916",73%,"73,826,508","275,998","11,782"
5,2016-02,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"4,416",600,302,50%,"155,516",0,0
6,2016-02,Endeavor Air Inc. (Domestic),"New York, NY (LGA)",965,"714,024","71,920","45,794",64%,"20,263,322",94,0
7,2016-02,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",948,"524,767","59,680","36,190",61%,"15,062,420",52,0
8,2016-02,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",55,"50,928","9,900","8,730",88%,"1,980,000",0,0
9,2016-02,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",745,"397,758","53,206","30,473",57%,"14,024,090",0,0
10,2016-02,Jazz Aviation LP (International),"New York, NY (LGA)",82,"26,757","4,100","2,152",52%,"1,229,998",0,0
11,2016-02,JetBlue Airways (Domestic),"New York, NY (LGA)",500,"511,764","75,000","61,492",82%,"18,700,000",0,0
12,2016-02,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",58,"23,965","4,114","3,770",92%,"1,067,240",0,0
13,2016-02,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",189,"92,936","10,048","6,962",69%,"2,542,470","2,867",0
14,2016-02,Republic Airlines (Domestic),"New York, NY (LGA)",945,"631,483","67,752","41,001",61%,"18,825,419",0,0
15,2016-02,Republic Airlines (Latin America),"New York, NY (LGA)",96,"34,272","6,734","5,195",77%,"1,859,942",0,0
16,2016-02,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,345","606,415","89,305","53,361",60%,"24,201,940",0,0
17,2016-02,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",137,"44,817","9,985","7,139",71%,"2,629,181","2,557",0
18,2016-02,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",52,"38,116","3,946","3,395",86%,"793,940",0,0
19,2016-02,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",829,"793,329","119,315","88,244",74%,"28,887,400",317,0
20,2016-02,Spirit Air Lines (Domestic),"New York, NY (LGA)",284,"240,339","52,982","45,433",86%,"10,596,400",0,0
21,2016-02,Sun Country Airlines d/b/a MN Airlines (Domestic),"New York, NY (LGA)",1,"2,235",129,99,77%,"35,983",0,0
22,2016-02,"Swift Air, LLC (Domestic)","New York, NY (LGA)",3,"1,712",204,27,13%,"104,123",0,0
23,2016-02,Trans States Airlines (Domestic),"New York, NY (LGA)",501,"240,752","25,050","16,736",67%,"5,570,118",0,0
24,2016-02,United Air Lines Inc. (Domestic),"New York, NY (LGA)",607,"709,788","87,640","70,775",81%,"21,973,222","4,814",0
25,2016-02,Virgin America (Domestic),"New York, NY (LGA)",93,"128,433","11,865","8,102",68%,"3,499,089",0,0
26,2016-02,Westjet (International),"New York, NY (LGA)",168,"59,976","20,727","12,119",58%,"5,044,156",0,0
1,2016-03,Air Canada (International),"New York, NY (LGA)",385,"135,468","40,768","29,787",73%,"10,726,108","7,309",0
2,2016-03,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",389,"140,951","19,450","11,416",59%,"4,761,360","3,107",0
3,2016-03,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,238","1,504,422","309,515","244,057",79%,"80,059,800","218,599",35
4,2016-03,Ameristar Air Cargo (Domestic),"New York, NY (LGA)",1,"1,444",147,0,0%,"34,696",0,0
5,2016-03,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airli","New York, NY (LGA)",1,908,155,0,0%,"35,000",0,0
6,2016-03,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,381","2,053,324","345,280","275,969",80%,"83,744,779","308,981",11
7,2016-03,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",4,"4,416",600,359,60%,"155,516",0,0
8,2016-03,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",1,101,189,0,0%,"82,900",0,0
9,2016-03,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,472","1,021,527","106,146","75,465",71%,"29,679,506",260,0
10,2016-03,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",897,"434,490","53,745","35,772",67%,"13,581,860",0,0
11,2016-03,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",58,"53,882","10,440","9,335",89%,"2,088,000",0,0
12,2016-03,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)",981,"554,081","69,780","45,811",66%,"18,226,310",0,0
13,2016-03,Jazz Aviation LP (International),"New York, NY (LGA)",98,"31,980","5,125","2,830",55%,"1,504,199",0,0
14,2016-03,JetBlue Airways (Domestic),"New York, NY (LGA)",555,"569,242","83,250","71,635",86%,"20,757,000",0,0
15,2016-03,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",60,"18,488","4,242","4,012",95%,"1,105,520",0,0
16,2016-03,Miami Air International (Domestic),"New York, NY (LGA)",2,778,346,100,29%,"85,000",0,0
17,2016-03,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",176,"84,000","9,467","6,685",71%,"2,402,360","2,093",0
18,2016-03,Republic Airlines (Domestic),"New York, NY (LGA)","1,146","787,138","83,210","56,815",68%,"23,207,822",0,0
19,2016-03,Republic Airlines (Latin America),"New York, NY (LGA)",116,"41,412","8,186","5,913",72%,"2,263,470",0,0
20,2016-03,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,735","818,964","120,494","81,468",68%,"33,341,916",0,0
21,2016-03,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",157,"51,396","11,462","8,039",70%,"2,807,753","1,709",0
22,2016-03,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",65,"47,645","4,940","4,627",94%,"988,000",0,0
23,2016-03,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",938,"898,681","134,378","113,959",85%,"32,477,200","8,681",0
24,2016-03,Spirit Air Lines (Domestic),"New York, NY (LGA)",337,"282,928","64,444","58,241",90%,"37,527,000",0,0
25,2016-03,Sun Country Airlines d/b/a MN Airlines (Domestic),"New York, NY (LGA)",1,352,162,70,43%,"44,416",0,0
26,2016-03,"Swift Air, LLC (Domestic)","New York, NY (LGA)",3,"4,351",368,260,71%,"104,100",0,0
27,2016-03,Trans States Airlines (Domestic),"New York, NY (LGA)",679,"328,772","33,950","24,330",72%,"7,549,122",0,0
28,2016-03,United Air Lines Inc. (Domestic),"New York, NY (LGA)",661,"778,127","97,179","85,759",88%,"25,068,506","5,820",0
29,2016-03,Virgin America (Domestic),"New York, NY (LGA)",111,"153,291","13,563","10,687",79%,"4,190,013",0,0
30,2016-03,Westjet (International),"New York, NY (LGA)",192,"68,544","23,241","13,938",60%,"5,652,612",0,0
31,2016-03,XTRA Airways (Domestic),"New York, NY (LGA)",1,599,179,51,28%,"35,000",0,0
1,2016-04,Air Canada (International),"New York, NY (LGA)",354,"124,695","37,491","30,531",81%,"9,954,561","6,532",0
2,2016-04,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",363,"128,313","18,150","11,197",62%,"4,443,120","2,521",425
3,2016-04,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,139","1,439,486","298,690","248,472",83%,"77,147,200","186,314",0
4,2016-04,Chartright Air Inc. (International),"New York, NY (LGA)",2,702,8,2,25%,"2,400",0,0
5,2016-04,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,098","1,778,864","305,959","251,526",82%,"75,743,423","263,660",0
6,2016-04,Delta Air Lines Inc. (Latin America),"New York, NY (LGA)",1,"1,104",150,125,83%,"38,879",0,0
7,2016-04,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,594","986,872","113,331","83,341",74%,"31,582,590",85,0
8,2016-04,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",788,"372,745","46,176","31,993",69%,"11,805,960",0,0
9,2016-04,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",76,"82,518","12,660","11,576",91%,"2,532,000",0,0
10,2016-04,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,075","618,103","76,558","51,405",67%,"20,051,270",0,0
11,2016-04,Jazz Aviation LP (International),"New York, NY (LGA)",159,"51,729","9,774","7,052",72%,"2,662,298",0,0
12,2016-04,JetBlue Airways (Domestic),"New York, NY (LGA)",536,"549,806","80,400","66,637",83%,"20,046,400",0,0
13,2016-04,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",64,"20,591","4,510","4,225",94%,"1,180,800",0,0
14,2016-04,Miami Air International (Domestic),"New York, NY (LGA)",2,"2,016",346,149,43%,"85,000",0,0
15,2016-04,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",142,"67,019","7,750","4,970",64%,"1,978,550","1,362",0
16,2016-04,Republic Airlines (Domestic),"New York, NY (LGA)","1,112","785,603","81,229","54,838",68%,"22,756,597",0,0
17,2016-04,Republic Airlines (Latin America),"New York, NY (LGA)",91,"32,487","6,508","4,743",73%,"1,821,413",0,0
18,2016-04,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,495","866,547","108,087","75,446",70%,"30,418,699",0,0
19,2016-04,Sky Regional Airlines Inc. (International),"New York, NY (LGA)",84,"28,206","6,129","4,486",73%,"1,574,118","1,142",0
20,2016-04,SkyWest Airlines Inc. (Domestic),"New York, NY (LGA)",43,"31,519","3,010","3,010",100%,"653,600",0,0
21,2016-04,Southwest Airlines Co. (Domestic),"New York, NY (LGA)",903,"861,062","129,117","110,745",86%,"31,222,200","225,031",0
22,2016-04,Spirit Air Lines (Domestic),"New York, NY (LGA)",330,"274,721","62,880","54,487",87%,"19,332,600",0,0
23,2016-04,"Swift Air, LLC (Domestic)","New York, NY (LGA)",1,725,68,27,40%,"35,138",0,0
24,2016-04,Trans States Airlines (Domestic),"New York, NY (LGA)",682,"333,414","34,100","25,509",75%,"7,582,476",0,0
25,2016-04,United Air Lines Inc. (Domestic),"New York, NY (LGA)",653,"755,318","96,549","86,106",89%,"24,954,694","25,476",0
26,2016-04,Virgin America (Domestic),"New York, NY (LGA)",103,"142,243","12,452","9,924",80%,"3,891,235",0,0
27,2016-04,Westjet (International),"New York, NY (LGA)",190,"67,830","22,621","12,686",56%,"5,487,421",0,0
1,2016-05,Air Canada (International),"New York, NY (LGA)",356,"127,755","43,494","36,966",85%,"11,324,337","7,344",0
2,2016-05,Air Wisconsin Airlines Corp (Domestic),"New York, NY (LGA)",342,"128,677","17,100","13,053",76%,"4,186,080","2,293",0
3,2016-05,American Airlines Inc. (Domestic),"New York, NY (LGA)","2,230","1,505,375","312,446","273,955",88%,"80,504,300","107,097",0
4,2016-05,Delta Air Lines Inc. (Domestic),"New York, NY (LGA)","2,092","1,760,882","307,390","258,477",84%,"76,496,736","285,152",0
5,2016-05,Eastern Airlines Group Inc. (Domestic),"New York, NY (LGA)",1,17,189,2,1%,"81,900",0,0
6,2016-05,Endeavor Air Inc. (Domestic),"New York, NY (LGA)","1,512","889,798","104,953","80,875",77%,"29,072,260",0,0
7,2016-05,ExpressJet Airlines Inc. (Domestic),"New York, NY (LGA)",882,"423,419","52,541","39,256",75%,"13,449,420",66,0
8,2016-05,Frontier Airlines Inc. (Domestic),"New York, NY (LGA)",93,"107,818","14,880","13,865",93%,"2,976,000",0,0
9,2016-05,GoJet Airlines LLC d/b/a United Express (Domestic),"New York, NY (LGA)","1,259","726,020","89,510","63,907",71%,"23,353,190",0,0
10,2016-05,Jazz Aviation LP (International),"New York, NY (LGA)",76,"24,852","3,800","2,681",71%,"1,140,000",0,0
11,2016-05,JetBlue Airways (Domestic),"New York, NY (LGA)",557,"571,197","83,550","72,235",86%,"20,831,800",0,0
12,2016-05,Mesa Airlines Inc. (Domestic),"New York, NY (LGA)",71,"28,129","5,036","4,738",94%,"1,306,460",0,0
13,2016-05,PSA Airlines Inc. (Domestic),"New York, NY (LGA)",143,"67,298","7,901","5,786",73%,"2,023,270","1,357",0
14,2016-05,Republic Airlines (Domestic),"New York, NY (LGA)","1,231","848,705","93,855","72,375",77%,"26,834,071",0,0
15,2016-05,Republic Airlines (Latin America),"New York, NY (LGA)",67,"23,919","5,096","3,603",71%,"1,460,801",0,0
16,2016-05,Shuttle America Corp. (Domestic),"New York, NY (LGA)","1,689","991,204","122,141","83,372",68%,"34,400,878",0,0
