,airline,manufacturer,model
N152UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N153AA,NOTTI LEIGH A,AVIAT AIRCRAFT INC,A-1B
N153PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N153SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N153UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N154AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N154SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N154UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N15555,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N15572,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N15574,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N155UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N156AA,DARDIS AVIATION LLC,AVIAT AIRCRAFT INC,A-1B
N156SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N156UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N15710,UNITED AIRLINES INC,BOEING,737-724
N15712,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N15751,UNITED AIRLINES INC,BOEING,737-71Q
N157AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N157SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N157UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N15910,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N15912,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N15980,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N15983,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N15985,KENMORE CREW LEASING INC TRUSTEE,EMBRAER,EMB-145LR
N15986,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N160SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N16112,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16147,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16149,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16151,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16170,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16178,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N16183,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N161AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N161SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N161UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N16217,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N16234,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N162AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N162SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N162UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N163AA,AMERICAN AIRLINES INC,AIRBUS,A321-231
N163SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N163US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N164SY,SKYWEST AIRLINES INC,EMBRAER,ERJ 170-200 LR
N16541,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N16546,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N16559,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N16561,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N16571,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N165SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N165US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N166PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N166SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N16701,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N16703,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N16709,UNITED AIRLINES INC,BOEING,737-724
N16713,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N16732,UNITED AIRLINES INC,BOEING,737-724
N167AA,AAI AVIATION INC,GULFSTREAM AEROSPACE,G-IV
N167SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N167US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N168SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N16911,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N16919,ERJ145 HOLDINGS LLC,EMBRAER,EMB-145LR
N16963,AVI SALES & LEASING SERVICES LLC,EMBRAER,EMB-145LR
N16976,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N16981,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N16987,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N16999,SOUTHERN AIRCRAFT CONSULTANCY INC TRUSTEE,EMBRAER,EMB-145LR
N169UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N170US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N17108,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17115,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17138,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17146,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17159,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17169,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17185,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N17196,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N171AA,CORSAIR TWO LLC,CESSNA,510
N171SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N171US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N17229,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N17233,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N17244,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N17245,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N172AA,STUART S MACPHERSON DDS INC,CESSNA,180
N172US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N173AA,KOINONIA CHRISTIAN CENTER CHURCH MINISTRIES INC,CESSNA,550
N173SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N173US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N174AA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-223
N174SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N174US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N17560,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N175SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N176AA,AMERICAN AIRLINES INC,BOEING,757-223
N176PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N176SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N176UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N17719,UNITED AIRLINES INC,BOEING,737-724
N17730,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N17752,UNITED AIRLINES INC,BOEING,737-71Q
N17753,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-7V3
N177SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N177US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N178AA,WILMINGTON TRUST CO TRUSTEE,BOEING,757-223
N178JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW
N178US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N17984,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N179AA,WILMINGTON TRUST CO TRUSTEE,BOEING,757-223
N179DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,767-332
N179JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N179SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N179UW,WILMINGTON TRUST CO TRUSTEE,AIRBUS INDUSTRIE,A321-211
N180AA,BUTLER TRACEY D,CESSNA,180J
N180US,WILMINGTON TRUST CO TRUSTEE,AIRBUS INDUSTRIE,A321-211
N18101,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N18102,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N18114,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N18120,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N181AA,DAMCO DISTRIBUTION SERVICES INC,DJI,PHANTOM 3 PROFESSION
N181PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N181UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N18220,UNITED AIRLINES INC,BOEING,737-824
N18223,UNITED AIRLINES INC,BOEING,737-824
N18243,UNITED AIRLINES INC,BOEING,737-824
N182AA,INDUSTRIAL HELICOPTERS LLC,BELL,206B
N182UW,WILMINGTON TRUST CO TRUSTEE,AIRBUS INDUSTRIE,A321-211
N183AA,KRIST GORDON J,BEECH,95
N183JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N183SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N183UW,WILMINGTON TRUST CO TRUSTEE,AIRBUS INDUSTRIE,A321-211
N184JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N184US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N18556,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N18557,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N185UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N186AA,CHAPMAN HUNTER B V,ANGER ANTHONY B,POBER PIXIE
N186PQ,DELTA AIRLINES INC,BOMBARDIER INC,CL-600-2D24
N186US,AMERICAN AIRLINES INC,AIRBUS,A321-211
N187AA,ANTON AIR LLC,DASSAULT AVIATION,FALCON 2000
N187JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N187US,AMERICAN AIRLINES INC,AIRBUS,A321-211
N188AA,CURTIS DARRIN M,BEECH,35-C33
N188US,AMERICAN AIRLINES INC,AIRBUS,A321-211
N189AA,ROSSLAND DAVID T,BEECH,K35
N189UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N190AA,AMERICAN AIRLINES INC,BOEING,757-223
N190JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N190UW,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A321-211
N19141,UNITED AIRLINES INC,BOEING,757-224
N191AA,PELZ THOMAS G,BEECH,K35
N191UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N192AA,STANDISH KEITH E,BEECH,K35
N192JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N192SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N192UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A321-211
N193AA,BIG MOUNTAIN AVIATION INC,MITSUBISHI,MU-2B-60
N193JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N193UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N194AA,AMERICAN AIRLINES INC,BOEING,757-223
N194UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N19554,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N195AA,COAL AIR INC,PIPER,PA-31T
N195PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N195UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N196AA,AMERICAN AIRLINES INC,BOEING,757-223
N196UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N197AA,CHEM-AIR INC,BELL,206B
N197JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N197PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N197UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N198AA,AMERICAN AIRLINES INC,BOEING,757-223
N198JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N198UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N199AA,HEIDE CHARLES H,BEECH,K35
N199UW,AMERICAN AIRLINES INC,AIRBUS,A321-211
N200SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N200WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N201FR,FRONTIER AIRLINES INC,AIRBUS,A320-214
N201LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N202AA,SIMPLY LIVING LTD,CESSNA,421C
N202FR,FRONTIER AIRLINES INC,AIRBUS,A320-214
N202SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N202WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N203FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N203JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N203SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N203WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N204SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N204WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N205FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N205SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N205WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N206FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N206JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N206SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N206WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N207FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N207SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N207WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N208SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N208WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N209SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N209WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N210FR,BANK OF UTAH TRUSTEE,AIRBUS,A320-214
N210WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N21129,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N21130,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N21144,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N21154,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N21197,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N211FR,BANK OF UTAH TRUSTEE,AIRBUS,A320-214
N211SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N211WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N212WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N213FR,BANK OF UTAH TRUSTEE,AIRBUS,A320-214
N213SY,SKYWEST AIRLINES INC,EMBRAER S A,ERJ 170-200 LR
N213WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N214WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N21537,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N215WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N216FR,BANK OF UTAH TRUSTEE,AIRBUS,A320-214
N216JB,WELLS FARGO BANK NW NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N216WR,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N21723,UNITED AIRLINES INC,BOEING,737-724
N217JC,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N218FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-214
N218WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N219FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N219WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N220FR,BANK OF UTAH TRUSTEE,AIRBUS,A320-214
N220WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N221FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N221WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N222WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N223FR,FALCON MSN 2695 TRUST,AIRBUS,A320-214
N223WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N224WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N225WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N226WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N227FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N227WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N228FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N228JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N228PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N228WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N22909,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N229FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N229JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N229WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N230FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N230WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N23139,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N231JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N231WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N232FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N232PQ,DELTA AIR LINES INC,BOMBARDIER INC,CL-600-2D24
N232WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N233FR,ALC A320 7095 LLC,AIRBUS,A320-214
N233LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N234WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N235FR,ALC A320 7272 LLC,AIRBUS,A320-214
N235WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N236FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N236JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N236WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N23707,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N23708,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N23721,UNITED AIRLINES INC,BOEING,737-724
N237WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N238FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-214
N238JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N238WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N239JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N239WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N240WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N24103,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N24128,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N241WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N24202,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N24211,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N24212,UNITED AIRLINES INC,BOEING,737-824
N24224,UNITED AIRLINES INC,BOEING,737-824
N242WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N243WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N244WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N245WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N246LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N24702,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N24706,UNITED AIRLINES INC,BOEING,737-724
N24715,UNITED AIRLINES INC,BOEING,737-724
N24729,UNITED AIRLINES INC,BOEING,737-724
N24736,UNITED AIRLINES INC,BOEING,737-724
N247JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N247WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N248WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N249JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N249WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N250WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N25134,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N251WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N25201,UNITED AIRLINES INC,BOEING,737-824
N252WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N253WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N254WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N255WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N256WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N25705,UNITED AIRLINES INC,BOEING,737-724
N257WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N258JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N258WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N259WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N260WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N26141,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N261WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N26208,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N26210,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N26215,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N26226,UNITED AIRLINES INC,BOEING,737-824
N26232,UNITED AIRLINES INC,BOEING,737-824
N262WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N263WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N264LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N26545,UNITED AIRLINES INC,EMBRAER,EMB-145LR
N26549,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N265JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N265WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N266JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N266WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N267JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N267WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N268WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N269WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N270WN,SOUTHWEST AIRLINES CO,BOEING,737-705
N27152,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N27190,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N271LV,SOUTHWEST AIRLINES CO,BOEING,737-705
N27200,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR
N27205,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N27213,UNITED AIRLINES INC,BOEING,737-824
N27239,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824
N27246,UNITED AIRLINES INC,BOEING,737-824
N272WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N273JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N273WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N27421,UNITED AIRLINES INC,BOEING,737-924ER
N27477,UNITED AIRLINES INC,BOEING,737-924ER
N274JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW
N274WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N275WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N276WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N27722,UNITED AIRLINES INC,BOEING,737-724
N27724,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N27733,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724
N27734,UNITED AIRLINES INC,BOEING,737-724
N277WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N278WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N279AT,AUTOGYRO USA LLC,AUTOGYRO USA LLC,CALIDUS
