,airline,manufacturer,model
N48901,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR
N489UA,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-232
N489WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N490AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N490UA,UNITED AIRLINES INC,AIRBUS,A320-232
N490WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N491AA,OKLAHOMA STATE UNIVERSITY,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N491UA,UNITED AIRLINES INC,AIRBUS,A320-232
N491WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N492UA,UNITED AIRLINES INC,AIRBUS,A320-232
N492WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N493AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N493UA,UNITED AIRLINES INC,AIRBUS,A320-232
N493WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N494AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N494UA,UNITED AIRLINES INC,AIRBUS,A320-232
N494WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N495UA,UNITED AIRLINES INC,AIRBUS,A320-232
N495WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N496AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N496UA,UNITED AIRLINES INC,AIRBUS,A320-232
N496WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N497UA,UNITED AIRLINES INC,AIRBUS,A320-232
N497WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N498UA,UNITED AIRLINES INC,AIRBUS,A320-232
N498WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N499AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N499WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4
N500WR,SOUTHWEST AIRLINES CO,BOEING,737-8H4
N501AA,AMERICAN AIRLINES INC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N502NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N503JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N503NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N504JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N504NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N505AA,AEROTHRUST HOLDINGS LEASING LLC,MCDONNELL DOUGLAS,DC-9-82(MD-82)
N505JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A320-232
N505NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N506JB,JETBLUE AIRWAYS CORP,AIRBUS INDUSTRIE,A320-232
N506NK,WILMINGTON TRUST CO TRUSTEE,AIRBUS,A319-132
N507AA,BRUCE BARRY K,WOBIG WAYNE R,FALCON-XP
N507AY,AMERICAN AIRLINES INC,AIRBUS,A321-231
N507NK,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A319-132
N508AA,AERO PRODUCTS COMPONENT SERVICES INC,BELL,206B
