,manufacturer,model
N196UW,AIRBUS,A321-211
N197AA,BELL,206B
N197JB,EMBRAER,ERJ 190-100 IGW
N197UW,AIRBUS,A321-211
N198AA,BOEING,757-223
N198JB,EMBRAER,ERJ 190-100 IGW
N198UW,AIRBUS,A321-211
N199AA,BEECH,K35
N199UW,AIRBUS,A321-211
N200SY,EMBRAER S A,ERJ 170-200 LR
N200WN,BOEING,737-7H4
N201FR,AIRBUS,A320-214
N201LV,BOEING,737-7H4
N202FR,AIRBUS,A320-214
N202SY,EMBRAER S A,ERJ 170-200 LR
N202WN,BOEING,737-7H4
N203FR,AIRBUS INDUSTRIE,A320-214
N203JB,EMBRAER,ERJ 190-100 IGW
N203SY,EMBRAER S A,ERJ 170-200 LR
N203WN,BOEING,737-7H4
N204SY,EMBRAER S A,ERJ 170-200 LR
N204WN,BOEING,737-7H4
N205FR,AIRBUS,A320-214
N205SY,EMBRAER S A,ERJ 170-200 LR
N205WN,BOEING,737-7H4
N206FR,AIRBUS,A320-214
N206JB,EMBRAER,ERJ 190-100 IGW
N206SY,EMBRAER S A,ERJ 170-200 LR
N206WN,BOEING,737-7H4
N207FR,AIRBUS,A320-214
N207SY,EMBRAER S A,ERJ 170-200 LR
N207WN,BOEING,737-7H4
N208SY,EMBRAER S A,ERJ 170-200 LR
N208WN,BOEING,737-7H4
N209SY,EMBRAER S A,ERJ 170-200 LR
N209WN,BOEING,737-7H4
N210FR,AIRBUS,A320-214
N210WN,BOEING,737-7H4
N21129,EMBRAER,EMB-145XR
N21154,EMBRAER,EMB-145XR
N21197,EMBRAER,EMB-145XR
N211FR,AIRBUS,A320-214
N211SY,EMBRAER S A,ERJ 170-200 LR
N211WN,BOEING,737-7H4
N212WN,BOEING,737-7H4
N213FR,AIRBUS,A320-214
N213SY,EMBRAER S A,ERJ 170-200 LR
N213WN,BOEING,737-7H4
N214WN,BOEING,737-7H4
N21537,EMBRAER,EMB-145LR
N215WN,BOEING,737-7H4
N216FR,AIRBUS,A320-214
