dt,CalendarYear,Day,Time,Avg Total Time,Max Total Time,Max # of PAX in Line
2017-06-08 01:55:00,2017,2017-06-08,01:55:00,0,0,0
2017-06-08 02:00:00,2017,2017-06-08,02:00:00,0,0,0
2017-06-08 02:05:00,2017,2017-06-08,02:05:00,0,0,0
2017-06-08 02:10:00,2017,2017-06-08,02:10:00,0,0,0
2017-06-08 02:15:00,2017,2017-06-08,02:15:00,0,0,0
2017-06-08 02:20:00,2017,2017-06-08,02:20:00,0,0,0
2017-06-08 02:25:00,2017,2017-06-08,02:25:00,0,0,0
2017-06-08 02:30:00,2017,2017-06-08,02:30:00,0,0,0
2017-06-08 02:35:00,2017,2017-06-08,02:35:00,0,0,0
2017-06-08 02:40:00,2017,2017-06-08,02:40:00,0,0,0
2017-06-08 02:45:00,2017,2017-06-08,02:45:00,0,0,0
2017-06-08 02:50:00,2017,2017-06-08,02:50:00,0,0,0
2017-06-08 02:55:00,2017,2017-06-08,02:55:00,0,0,0
2017-06-08 03:00:00,2017,2017-06-08,03:00:00,0,0,0
2017-06-08 03:05:00,2017,2017-06-08,03:05:00,0,0,0
2017-06-08 03:10:00,2017,2017-06-08,03:10:00,0,0,0
2017-06-08 03:15:00,2017,2017-06-08,03:15:00,0,0,0
2017-06-08 03:20:00,2017,2017-06-08,03:20:00,0,0,0
2017-06-08 03:25:00,2017,2017-06-08,03:25:00,0,0,0
2017-06-08 03:30:00,2017,2017-06-08,03:30:00,0,0,0
2017-06-08 03:35:00,2017,2017-06-08,03:35:00,0,0,0
2017-06-08 03:40:00,2017,2017-06-08,03:40:00,0,0,0
2017-06-08 03:45:00,2017,2017-06-08,03:45:00,0,0,0
2017-06-08 03:50:00,2017,2017-06-08,03:50:00,0,0,0
2017-06-08 03:55:00,2017,2017-06-08,03:55:00,0,0,0
2017-06-08 04:00:00,2017,2017-06-08,04:00:00,0,0,0
2017-06-08 04:05:00,2017,2017-06-08,04:05:00,0,0,0
2017-06-08 04:10:00,2017,2017-06-08,04:10:00,0,0,0
2017-06-08 04:15:00,2017,2017-06-08,04:15:00,0,0,0
2017-06-08 04:20:00,2017,2017-06-08,04:20:00,0,0,0
2017-06-08 04:25:00,2017,2017-06-08,04:25:00,0,0,0
2017-06-08 04:30:00,2017,2017-06-08,04:30:00,0,0,0
2017-06-08 04:35:00,2017,2017-06-08,04:35:00,0,0,0
2017-06-08 04:40:00,2017,2017-06-08,04:40:00,0,0,0
2017-06-08 04:45:00,2017,2017-06-08,04:45:00,0,0,0
2017-06-08 04:50:00,2017,2017-06-08,04:50:00,0,0,0
2017-06-08 04:55:00,2017,2017-06-08,04:55:00,0,0,0
2017-06-08 05:00:00,2017,2017-06-08,05:00:00,0,0,0
2017-06-08 05:05:00,2017,2017-06-08,05:05:00,0,0,0
2017-06-08 05:10:00,2017,2017-06-08,05:10:00,0,0,0
2017-06-08 05:15:00,2017,2017-06-08,05:15:00,0,0,0
2017-06-08 05:20:00,2017,2017-06-08,05:20:00,0,0,0
2017-06-08 05:25:00,2017,2017-06-08,05:25:00,0,0,0
2017-06-08 05:30:00,2017,2017-06-08,05:30:00,0,0,0
2017-06-08 05:35:00,2017,2017-06-08,05:35:00,0,0,0
2017-06-08 05:40:00,2017,2017-06-08,05:40:00,0,0,0
2017-06-08 05:45:00,2017,2017-06-08,05:45:00,0,0,0
2017-06-08 05:50:00,2017,2017-06-08,05:50:00,0,0,0
2017-06-08 05:55:00,2017,2017-06-08,05:55:00,0,0,0
2017-06-08 06:00:00,2017,2017-06-08,06:00:00,0,0,0
2017-06-08 06:05:00,2017,2017-06-08,06:05:00,0,0,0
2017-06-08 06:10:00,2017,2017-06-08,06:10:00,0,0,0
2017-06-08 06:15:00,2017,2017-06-08,06:15:00,0,0,0
2017-06-08 06:20:00,2017,2017-06-08,06:20:00,0,0,0
2017-06-08 06:25:00,2017,2017-06-08,06:25:00,0,0,0
2017-06-08 06:30:00,2017,2017-06-08,06:30:00,0,0,0
2017-06-08 06:35:00,2017,2017-06-08,06:35:00,0,0,0
2017-06-08 06:40:00,2017,2017-06-08,06:40:00,0,0,0
2017-06-08 06:45:00,2017,2017-06-08,06:45:00,0,0,0
2017-06-08 06:50:00,2017,2017-06-08,06:50:00,0,0,0
2017-06-08 06:55:00,2017,2017-06-08,06:55:00,0,0,0
2017-06-08 07:00:00,2017,2017-06-08,07:00:00,0,0,0
2017-06-08 07:05:00,2017,2017-06-08,07:05:00,0,0,0
2017-06-08 07:10:00,2017,2017-06-08,07:10:00,0,0,0
2017-06-08 07:15:00,2017,2017-06-08,07:15:00,0,0,0
2017-06-08 07:20:00,2017,2017-06-08,07:20:00,0,0,0
2017-06-08 07:25:00,2017,2017-06-08,07:25:00,0,0,0
2017-06-08 07:30:00,2017,2017-06-08,07:30:00,0,0,0
2017-06-08 07:35:00,2017,2017-06-08,07:35:00,0,0,0
2017-06-08 07:40:00,2017,2017-06-08,07:40:00,0,0,0
2017-06-08 07:45:00,2017,2017-06-08,07:45:00,0,0,0
2017-06-08 07:50:00,2017,2017-06-08,07:50:00,0,0,0
2017-06-08 07:55:00,2017,2017-06-08,07:55:00,0,0,0
2017-06-08 08:00:00,2017,2017-06-08,08:00:00,0,0,0
2017-06-08 08:05:00,2017,2017-06-08,08:05:00,0,0,0
2017-06-08 08:10:00,2017,2017-06-08,08:10:00,0,0,0
2017-06-08 08:15:00,2017,2017-06-08,08:15:00,0,0,0
2017-06-08 08:20:00,2017,2017-06-08,08:20:00,0,0,0
2017-06-08 08:25:00,2017,2017-06-08,08:25:00,0,0,0
2017-06-08 08:30:00,2017,2017-06-08,08:30:00,0,0,0
2017-06-08 08:35:00,2017,2017-06-08,08:35:00,0,0,0
2017-06-08 08:40:00,2017,2017-06-08,08:40:00,0,0,0
2017-06-08 08:45:00,2017,2017-06-08,08:45:00,0,0,0
2017-06-08 08:50:00,2017,2017-06-08,08:50:00,0,0,0
2017-06-08 08:55:00,2017,2017-06-08,08:55:00,0,0,0
2017-06-08 09:00:00,2017,2017-06-08,09:00:00,0,0,0
2017-06-08 09:05:00,2017,2017-06-08,09:05:00,0,0,0
2017-06-08 09:10:00,2017,2017-06-08,09:10:00,0,0,0
2017-06-08 09:15:00,2017,2017-06-08,09:15:00,0,0,0
2017-06-08 09:20:00,2017,2017-06-08,09:20:00,0,0,0
2017-06-08 09:25:00,2017,2017-06-08,09:25:00,0,0,0
2017-06-08 09:30:00,2017,2017-06-08,09:30:00,0,0,0
2017-06-08 09:35:00,2017,2017-06-08,09:35:00,0,0,0
2017-06-08 09:40:00,2017,2017-06-08,09:40:00,0,0,0
2017-06-08 09:45:00,2017,2017-06-08,09:45:00,0,0,0
2017-06-08 09:50:00,2017,2017-06-08,09:50:00,0,0,0
2017-06-08 09:55:00,2017,2017-06-08,09:55:00,0,0,0
2017-06-08 10:00:00,2017,2017-06-08,10:00:00,0,0,0
2017-06-08 10:05:00,2017,2017-06-08,10:05:00,0,0,0
2017-06-08 10:10:00,2017,2017-06-08,10:10:00,0,0,0
2017-06-08 10:15:00,2017,2017-06-08,10:15:00,0,0,0
2017-06-08 10:20:00,2017,2017-06-08,10:20:00,0,0,0
2017-06-08 10:25:00,2017,2017-06-08,10:25:00,0,0,0
2017-06-08 10:30:00,2017,2017-06-08,10:30:00,0,0,0
2017-06-08 10:35:00,2017,2017-06-08,10:35:00,0,0,0
2017-06-08 10:40:00,2017,2017-06-08,10:40:00,0,0,0
2017-06-08 10:45:00,2017,2017-06-08,10:45:00,0,0,0
2017-06-08 10:50:00,2017,2017-06-08,10:50:00,0,0,0
2017-06-08 10:55:00,2017,2017-06-08,10:55:00,0,0,0
2017-06-08 11:00:00,2017,2017-06-08,11:00:00,0,0,0
2017-06-08 11:05:00,2017,2017-06-08,11:05:00,0,0,0
2017-06-08 11:10:00,2017,2017-06-08,11:10:00,0,0,0
2017-06-08 11:15:00,2017,2017-06-08,11:15:00,0,0,0
2017-06-08 11:20:00,2017,2017-06-08,11:20:00,0,0,0
2017-06-08 11:25:00,2017,2017-06-08,11:25:00,0,0,0
2017-06-08 11:30:00,2017,2017-06-08,11:30:00,0,0,0
2017-06-08 11:35:00,2017,2017-06-08,11:35:00,0,0,0
2017-06-08 11:40:00,2017,2017-06-08,11:40:00,0,0,0
2017-06-08 11:45:00,2017,2017-06-08,11:45:00,0,0,0
2017-06-08 11:50:00,2017,2017-06-08,11:50:00,0,0,0
2017-06-08 11:55:00,2017,2017-06-08,11:55:00,0,0,0
2017-06-08 12:00:00,2017,2017-06-08,12:00:00,0,0,0
2017-06-08 12:05:00,2017,2017-06-08,12:05:00,0,0,0
2017-06-08 12:10:00,2017,2017-06-08,12:10:00,0,0,0
2017-06-08 12:15:00,2017,2017-06-08,12:15:00,0,0,0
2017-06-08 12:20:00,2017,2017-06-08,12:20:00,0,0,0
2017-06-08 12:25:00,2017,2017-06-08,12:25:00,0,0,0
2017-06-08 12:30:00,2017,2017-06-08,12:30:00,0,0,0
2017-06-08 12:35:00,2017,2017-06-08,12:35:00,0,0,0
2017-06-08 12:40:00,2017,2017-06-08,12:40:00,0,0,0
2017-06-08 12:45:00,2017,2017-06-08,12:45:00,0,0,0
2017-06-08 12:50:00,2017,2017-06-08,12:50:00,0,0,0
2017-06-08 12:55:00,2017,2017-06-08,12:55:00,0,0,0
2017-06-08 13:00:00,2017,2017-06-08,13:00:00,0,0,0
2017-06-08 13:05:00,2017,2017-06-08,13:05:00,0,0,0
2017-06-08 13:10:00,2017,2017-06-08,13:10:00,0,0,0
2017-06-08 13:15:00,2017,2017-06-08,13:15:00,0,0,0
2017-06-08 13:20:00,2017,2017-06-08,13:20:00,0,0,0
2017-06-08 13:25:00,2017,2017-06-08,13:25:00,0,0,0
2017-06-08 13:30:00,2017,2017-06-08,13:30:00,0,0,0
2017-06-08 13:35:00,2017,2017-06-08,13:35:00,0,0,0
2017-06-08 13:40:00,2017,2017-06-08,13:40:00,0,0,0
2017-06-08 13:45:00,2017,2017-06-08,13:45:00,0,0,0
2017-06-08 13:50:00,2017,2017-06-08,13:50:00,0,0,0
2017-06-08 13:55:00,2017,2017-06-08,13:55:00,0,0,0
2017-06-08 14:00:00,2017,2017-06-08,14:00:00,0,0,0
2017-06-08 14:05:00,2017,2017-06-08,14:05:00,0,0,0
2017-06-08 14:10:00,2017,2017-06-08,14:10:00,3,3,16
2017-06-08 14:15:00,2017,2017-06-08,14:15:00,3,4,20
2017-06-08 14:20:00,2017,2017-06-08,14:20:00,4,5,25
