,airline,manufacturer,model
N157AA,A321-231,AIRBUS,A321-231
N157SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N157UW,A321-211,AIRBUS,A321-211
N15910,EMB-145LR,EMBRAER,EMB-145LR
N15912,EMB-145LR,EMBRAER,EMB-145LR
N15980,EMB-145LR,EMBRAER,EMB-145LR
N15983,EMB-145LR,EMBRAER,EMB-145LR
N15985,EMB-145LR,EMBRAER,EMB-145LR
N15986,EMB-145LR,EMBRAER,EMB-145LR
N160SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N16149,EMB-145XR,EMBRAER,EMB-145XR
N16170,EMB-145XR,EMBRAER,EMB-145XR
N16178,EMB-145XR,EMBRAER,EMB-145XR
N16183,EMB-145XR,EMBRAER,EMB-145XR
N161AA,A321-231,AIRBUS,A321-231
N161SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N161UW,A321-211,AIRBUS INDUSTRIE,A321-211
N16217,737-824,BOEING,737-824
N16234,737-824,BOEING,737-824
N162AA,A321-231,AIRBUS,A321-231
N162SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N162UW,A321-211,AIRBUS INDUSTRIE,A321-211
N163AA,A321-231,AIRBUS,A321-231
N163SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N163US,A321-211,AIRBUS INDUSTRIE,A321-211
N164SY,ERJ 170-200 LR,EMBRAER,ERJ 170-200 LR
N16541,EMB-145LR,EMBRAER,EMB-145LR
N16546,EMB-145LR,EMBRAER,EMB-145LR
N16559,EMB-145LR,EMBRAER,EMB-145LR
N16561,EMB-145LR,EMBRAER,EMB-145LR
N16571,EMB-145LR,EMBRAER,EMB-145LR
N165AA,25B,GATES LEAR JET,25B
N165SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N165US,A321-211,AIRBUS INDUSTRIE,A321-211
N166PQ,CL-600-2D24,BOMBARDIER INC,CL-600-2D24
N166SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N16701,737-724,BOEING,737-724
N16703,737-724,BOEING,737-724
N16709,737-724,BOEING,737-724
N16713,737-724,BOEING,737-724
N16732,737-724,BOEING,737-724
N167AA,G-IV,GULFSTREAM AEROSPACE,G-IV
N167SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N167US,A321-211,AIRBUS INDUSTRIE,A321-211
N168SY,ERJ 170-200 LR,EMBRAER S A,ERJ 170-200 LR
N16911,EMB-145LR,EMBRAER,EMB-145LR
N16918,EMB-145LR,EMBRAER,EMB-145LR
N16919,EMB-145LR,EMBRAER,EMB-145LR
N16976,EMB-145LR,EMBRAER,EMB-145LR
N16981,EMB-145LR,EMBRAER,EMB-145LR
