num_pickups,num_passengers,yr,mnth,d,hr
540,983,2014,1,17,12
585,1026,2014,1,17,13
669,1121,2014,1,17,14
565,957,2014,1,17,15
802,1405,2014,1,17,16
821,1489,2014,1,17,17
700,1215,2014,1,17,18
717,1267,2014,1,17,19
627,1098,2014,1,17,20
746,1285,2014,1,17,21
616,1132,2014,1,17,22
565,984,2014,1,17,23
235,445,2014,1,18,0
34,54,2014,1,18,1
7,7,2014,1,18,2
7,12,2014,1,18,3
9,18,2014,1,18,4
3,5,2014,1,18,5
12,21,2014,1,18,6
33,61,2014,1,18,7
75,150,2014,1,18,8
166,272,2014,1,18,9
293,527,2014,1,18,10
401,751,2014,1,18,11
381,658,2014,1,18,12
320,563,2014,1,18,13
428,766,2014,1,18,14
290,513,2014,1,18,15
402,716,2014,1,18,16
380,702,2014,1,18,17
295,556,2014,1,18,18
243,429,2014,1,18,19
217,371,2014,1,18,20
235,428,2014,1,18,21
277,532,2014,1,18,22
214,369,2014,1,18,23
89,156,2014,1,19,0
14,23,2014,1,19,1
4,6,2014,1,19,2
3,7,2014,1,19,3
5,5,2014,1,19,4
8,8,2014,1,19,5
5,14,2014,1,19,6
26,35,2014,1,19,7
109,176,2014,1,19,8
153,242,2014,1,19,9
235,432,2014,1,19,10
261,454,2014,1,19,11
371,640,2014,1,19,12
345,652,2014,1,19,13
514,846,2014,1,19,14
506,838,2014,1,19,15
627,1070,2014,1,19,16
705,1196,2014,1,19,17
720,1259,2014,1,19,18
484,820,2014,1,19,19
561,953,2014,1,19,20
622,1058,2014,1,19,21
515,878,2014,1,19,22
499,842,2014,1,19,23
182,300,2014,1,20,0
1,1,2014,1,20,1
2,6,2014,1,20,3
7,11,2014,1,20,4
13,21,2014,1,20,5
11,20,2014,1,20,6
126,193,2014,1,20,7
397,674,2014,1,20,8
546,929,2014,1,20,9
718,1264,2014,1,20,10
639,1202,2014,1,20,11
646,1124,2014,1,20,12
783,1422,2014,1,20,13
981,1728,2014,1,20,14
845,1532,2014,1,20,15
939,1703,2014,1,20,16
918,1664,2014,1,20,17
863,1663,2014,1,20,18
897,1602,2014,1,20,19
883,1535,2014,1,20,20
921,1598,2014,1,20,21
990,1675,2014,1,20,22
695,1167,2014,1,20,23
227,410,2014,1,21,0
17,33,2014,1,21,1
33,70,2014,1,21,2
5,16,2014,1,21,4
18,37,2014,1,21,5
43,74,2014,1,21,6
340,541,2014,1,21,7
558,891,2014,1,21,8
525,874,2014,1,21,9
424,771,2014,1,21,10
401,713,2014,1,21,11
324,583,2014,1,21,12
236,452,2014,1,21,13
147,259,2014,1,21,14
85,142,2014,1,21,15
96,156,2014,1,21,16
118,216,2014,1,21,17
90,150,2014,1,21,18
27,39,2014,1,21,19
13,27,2014,1,21,20
19,35,2014,1,21,21
2,3,2014,1,21,22
6,6,2014,1,21,23
3,7,2014,1,22,0
1,1,2014,1,22,1
3,5,2014,1,22,2
2,6,2014,1,22,4
2,2,2014,1,22,5
4,4,2014,1,22,6
23,49,2014,1,22,7
26,43,2014,1,22,8
107,192,2014,1,22,9
282,492,2014,1,22,10
422,694,2014,1,22,11
587,1086,2014,1,22,12
651,1117,2014,1,22,13
721,1239,2014,1,22,14
805,1383,2014,1,22,15
727,1257,2014,1,22,16
795,1389,2014,1,22,17
763,1270,2014,1,22,18
646,1062,2014,1,22,19
672,1165,2014,1,22,20
740,1251,2014,1,22,21
717,1233,2014,1,22,22
693,1264,2014,1,22,23
274,477,2014,1,23,0
10,26,2014,1,23,1
6,13,2014,1,23,2
4,9,2014,1,23,3
10,13,2014,1,23,4
27,41,2014,1,23,5
38,76,2014,1,23,6
217,330,2014,1,23,7
410,688,2014,1,23,8
540,891,2014,1,23,9
626,1099,2014,1,23,10
522,911,2014,1,23,11
457,814,2014,1,23,12
557,910,2014,1,23,13
611,1076,2014,1,23,14
569,1040,2014,1,23,15
585,1000,2014,1,23,16
694,1135,2014,1,23,17
762,1340,2014,1,23,18
733,1237,2014,1,23,19
650,1139,2014,1,23,20
847,1430,2014,1,23,21
791,1446,2014,1,23,22
651,1106,2014,1,23,23
157,249,2014,1,24,0
22,30,2014,1,24,1
11,19,2014,1,24,2
3,3,2014,1,24,3
6,8,2014,1,24,4
24,36,2014,1,24,5
30,34,2014,1,24,6
161,243,2014,1,24,7
253,442,2014,1,24,8
410,742,2014,1,24,9
461,813,2014,1,24,10
402,718,2014,1,24,11
432,679,2014,1,24,12
450,844,2014,1,24,13
601,1050,2014,1,24,14
535,1007,2014,1,24,15
662,1140,2014,1,24,16
647,1165,2014,1,24,17
731,1290,2014,1,24,18
665,1103,2014,1,24,19
622,1089,2014,1,24,20
601,1057,2014,1,24,21
433,799,2014,1,24,22
498,845,2014,1,24,23
267,471,2014,1,25,0
54,96,2014,1,25,1
31,47,2014,1,25,2
34,54,2014,1,25,3
7,7,2014,1,25,4
9,9,2014,1,25,5
15,24,2014,1,25,6
28,46,2014,1,25,7
99,159,2014,1,25,8
107,169,2014,1,25,9
243,420,2014,1,25,10
275,480,2014,1,25,11
252,384,2014,1,25,12
322,558,2014,1,25,13
369,662,2014,1,25,14
307,532,2014,1,25,15
310,542,2014,1,25,16
194,349,2014,1,25,17
280,499,2014,1,25,18
455,842,2014,1,25,19
427,790,2014,1,25,20
243,466,2014,1,25,21
350,600,2014,1,25,22
295,490,2014,1,25,23
129,219,2014,1,26,0
6,10,2014,1,26,1
5,10,2014,1,26,2
1,6,2014,1,26,3
3,3,2014,1,26,4
10,16,2014,1,26,5
9,17,2014,1,26,6
33,53,2014,1,26,7
58,98,2014,1,26,8
158,279,2014,1,26,9
298,496,2014,1,26,10
281,491,2014,1,26,11
380,665,2014,1,26,12
372,608,2014,1,26,13
666,1080,2014,1,26,14
467,753,2014,1,26,15
571,919,2014,1,26,16
587,969,2014,1,26,17
666,1170,2014,1,26,18
748,1271,2014,1,26,19
702,1175,2014,1,26,20
896,1482,2014,1,26,21
902,1457,2014,1,26,22
639,1050,2014,1,26,23
319,511,2014,1,27,0
64,114,2014,1,27,1
54,106,2014,1,27,2
4,16,2014,1,27,3
9,21,2014,1,27,4
21,30,2014,1,27,5
40,93,2014,1,27,6
293,474,2014,1,27,7
464,765,2014,1,27,8
734,1160,2014,1,27,9
808,1362,2014,1,27,10
641,1101,2014,1,27,11
499,880,2014,1,27,12
416,713,2014,1,27,13
528,838,2014,1,27,14
580,1004,2014,1,27,15
565,1004,2014,1,27,16
562,985,2014,1,27,17
538,902,2014,1,27,18
505,828,2014,1,27,19
432,715,2014,1,27,20
641,1085,2014,1,27,21
690,1196,2014,1,27,22
480,783,2014,1,27,23
73,125,2014,1,28,0
6,8,2014,1,28,1
5,14,2014,1,28,2
39,62,2014,1,28,3
8,26,2014,1,28,4
20,38,2014,1,28,5
38,64,2014,1,28,6
273,452,2014,1,28,7
358,590,2014,1,28,8
581,989,2014,1,28,9
555,985,2014,1,28,10
430,727,2014,1,28,11
452,743,2014,1,28,12
386,675,2014,1,28,13
461,790,2014,1,28,14
451,714,2014,1,28,15
493,835,2014,1,28,16
450,766,2014,1,28,17
539,971,2014,1,28,18
436,742,2014,1,28,19
614,1056,2014,1,28,20
470,821,2014,1,28,21
395,674,2014,1,28,22
300,505,2014,1,28,23
54,115,2014,1,29,0
8,14,2014,1,29,1
51,99,2014,1,29,2
4,4,2014,1,29,3
8,12,2014,1,29,4
16,35,2014,1,29,5
29,48,2014,1,29,6
141,193,2014,1,29,7
324,522,2014,1,29,8
393,599,2014,1,29,9
524,871,2014,1,29,10
435,725,2014,1,29,11
426,685,2014,1,29,12
350,618,2014,1,29,13
434,673,2014,1,29,14
434,671,2014,1,29,15
549,943,2014,1,29,16
596,982,2014,1,29,17
641,1052,2014,1,29,18
444,749,2014,1,29,19
515,878,2014,1,29,20
640,1112,2014,1,29,21
543,919,2014,1,29,22
497,828,2014,1,29,23
160,244,2014,1,30,0
42,72,2014,1,30,1
47,83,2014,1,30,2
7,9,2014,1,30,3
29,46,2014,1,30,4
34,50,2014,1,30,5
41,83,2014,1,30,6
176,316,2014,1,30,7
270,429,2014,1,30,8
337,545,2014,1,30,9
402,613,2014,1,30,10
333,551,2014,1,30,11
453,769,2014,1,30,12
363,635,2014,1,30,13
507,913,2014,1,30,14
427,716,2014,1,30,15
570,972,2014,1,30,16
565,923,2014,1,30,17
726,1178,2014,1,30,18
672,1134,2014,1,30,19
697,1150,2014,1,30,20
559,873,2014,1,30,21
774,1360,2014,1,30,22
582,952,2014,1,30,23
357,605,2014,1,31,0
36,73,2014,1,31,1
12,33,2014,1,31,2
11,14,2014,1,31,3
42,67,2014,1,31,4
24,27,2014,1,31,5
47,73,2014,1,31,6
167,260,2014,1,31,7
233,382,2014,1,31,8
371,558,2014,1,31,9
364,622,2014,1,31,10
390,667,2014,1,31,11
390,660,2014,1,31,12
357,568,2014,1,31,13
500,760,2014,1,31,14
499,831,2014,1,31,15
522,901,2014,1,31,16
644,1093,2014,1,31,17
664,1058,2014,1,31,18
607,1060,2014,1,31,19
647,1150,2014,1,31,20
630,1096,2014,1,31,21
522,940,2014,1,31,22
438,786,2014,1,31,23
182,371,2014,2,1,0
53,111,2014,2,1,1
6,7,2014,2,1,2
5,10,2014,2,1,3
40,89,2014,2,1,4
20,33,2014,2,1,5
13,31,2014,2,1,6
35,55,2014,2,1,7
85,143,2014,2,1,8
110,169,2014,2,1,9
251,433,2014,2,1,10
202,331,2014,2,1,11
269,434,2014,2,1,12
203,324,2014,2,1,13
244,413,2014,2,1,14
231,367,2014,2,1,15
270,476,2014,2,1,16
227,419,2014,2,1,17
205,324,2014,2,1,18
155,268,2014,2,1,19
248,409,2014,2,1,20
292,522,2014,2,1,21
152,255,2014,2,1,22
262,447,2014,2,1,23
46,87,2014,2,2,0
