num_pickups,num_passengers,yr,mnth,d,hr
630,1086,2015,2,6,18
654,1139,2015,2,6,19
664,1161,2015,2,6,20
584,980,2015,2,6,21
356,629,2015,2,6,22
368,602,2015,2,6,23
73,126,2015,2,7,0
7,7,2015,2,7,1
4,6,2015,2,7,2
4,9,2015,2,7,3
2,3,2015,2,7,4
7,17,2015,2,7,5
12,13,2015,2,7,6
30,40,2015,2,7,7
67,105,2015,2,7,8
163,297,2015,2,7,9
243,418,2015,2,7,10
234,422,2015,2,7,11
213,356,2015,2,7,12
250,443,2015,2,7,13
233,400,2015,2,7,14
268,489,2015,2,7,15
238,434,2015,2,7,16
258,434,2015,2,7,17
197,322,2015,2,7,18
257,438,2015,2,7,19
217,398,2015,2,7,20
175,289,2015,2,7,21
258,436,2015,2,7,22
285,452,2015,2,7,23
35,54,2015,2,8,0
10,19,2015,2,8,1
2,9,2015,2,8,2
6,13,2015,2,8,3
7,11,2015,2,8,4
8,14,2015,2,8,5
11,11,2015,2,8,6
14,26,2015,2,8,7
101,142,2015,2,8,8
179,332,2015,2,8,9
275,468,2015,2,8,10
226,392,2015,2,8,11
270,437,2015,2,8,12
488,831,2015,2,8,13
433,699,2015,2,8,14
647,1117,2015,2,8,15
579,972,2015,2,8,16
724,1250,2015,2,8,17
791,1351,2015,2,8,18
656,1115,2015,2,8,19
848,1399,2015,2,8,20
819,1343,2015,2,8,21
459,740,2015,2,8,22
456,755,2015,2,8,23
215,345,2015,2,9,0
5,15,2015,2,9,1
4,13,2015,2,9,2
1,1,2015,2,9,3
7,12,2015,2,9,4
13,30,2015,2,9,5
21,31,2015,2,9,6
68,117,2015,2,9,7
211,341,2015,2,9,8
371,613,2015,2,9,9
598,1036,2015,2,9,10
430,685,2015,2,9,11
463,746,2015,2,9,12
482,840,2015,2,9,13
459,795,2015,2,9,14
604,1066,2015,2,9,15
551,985,2015,2,9,16
628,1100,2015,2,9,17
618,1032,2015,2,9,18
589,985,2015,2,9,19
566,989,2015,2,9,20
810,1354,2015,2,9,21
650,1030,2015,2,9,22
489,828,2015,2,9,23
134,255,2015,2,10,0
15,22,2015,2,10,1
3,3,2015,2,10,2
7,9,2015,2,10,4
16,28,2015,2,10,5
45,74,2015,2,10,6
243,388,2015,2,10,7
360,602,2015,2,10,8
739,1190,2015,2,10,9
759,1317,2015,2,10,10
619,1015,2015,2,10,11
494,794,2015,2,10,12
523,849,2015,2,10,13
513,845,2015,2,10,14
574,981,2015,2,10,15
621,1097,2015,2,10,16
517,909,2015,2,10,17
665,1182,2015,2,10,18
648,1126,2015,2,10,19
594,1019,2015,2,10,20
697,1128,2015,2,10,21
497,862,2015,2,10,22
416,680,2015,2,10,23
64,94,2015,2,11,0
40,62,2015,2,11,1
3,3,2015,2,11,2
3,7,2015,2,11,4
7,9,2015,2,11,5
14,23,2015,2,11,6
226,333,2015,2,11,7
387,615,2015,2,11,8
526,854,2015,2,11,9
554,899,2015,2,11,10
463,805,2015,2,11,11
478,844,2015,2,11,12
478,789,2015,2,11,13
637,1058,2015,2,11,14
518,890,2015,2,11,15
549,926,2015,2,11,16
688,1285,2015,2,11,17
728,1269,2015,2,11,18
671,1117,2015,2,11,19
722,1207,2015,2,11,20
841,1367,2015,2,11,21
525,879,2015,2,11,22
459,760,2015,2,11,23
114,200,2015,2,12,0
4,5,2015,2,12,1
5,9,2015,2,12,2
3,3,2015,2,12,4
11,21,2015,2,12,5
22,38,2015,2,12,6
199,314,2015,2,12,7
377,605,2015,2,12,8
439,727,2015,2,12,9
537,953,2015,2,12,10
602,1074,2015,2,12,11
548,943,2015,2,12,12
478,917,2015,2,12,13
608,1103,2015,2,12,14
639,1086,2015,2,12,15
660,1201,2015,2,12,16
777,1324,2015,2,12,17
710,1169,2015,2,12,18
773,1362,2015,2,12,19
699,1156,2015,2,12,20
810,1369,2015,2,12,21
850,1478,2015,2,12,22
776,1273,2015,2,12,23
227,401,2015,2,13,0
4,4,2015,2,13,1
2,2,2015,2,13,2
9,9,2015,2,13,3
7,12,2015,2,13,4
13,27,2015,2,13,5
15,18,2015,2,13,6
134,192,2015,2,13,7
312,566,2015,2,13,8
519,997,2015,2,13,9
581,1015,2015,2,13,10
718,1296,2015,2,13,11
600,1056,2015,2,13,12
616,1142,2015,2,13,13
626,1046,2015,2,13,14
617,1148,2015,2,13,15
644,1136,2015,2,13,16
684,1198,2015,2,13,17
849,1500,2015,2,13,18
820,1517,2015,2,13,19
698,1123,2015,2,13,20
646,1145,2015,2,13,21
708,1283,2015,2,13,22
704,1158,2015,2,13,23
450,893,2015,2,14,0
62,110,2015,2,14,1
5,10,2015,2,14,2
3,3,2015,2,14,3
6,7,2015,2,14,4
8,19,2015,2,14,5
18,28,2015,2,14,6
31,47,2015,2,14,7
138,212,2015,2,14,8
262,457,2015,2,14,9
340,606,2015,2,14,10
369,667,2015,2,14,11
256,472,2015,2,14,12
383,726,2015,2,14,13
335,630,2015,2,14,14
281,514,2015,2,14,15
344,613,2015,2,14,16
266,488,2015,2,14,17
300,530,2015,2,14,18
223,414,2015,2,14,19
