,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
519,N256WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
520,N25705,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
521,N257WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
522,N258JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
523,N258WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
524,N259WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
525,N260WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
526,N261WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
527,N26208,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
528,N26210,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
529,N26215,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
530,N26226,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
531,N26232,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
532,N262WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
533,N263WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
534,N264LV,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
535,N26545,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
536,N26549,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
537,N265JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
538,N265WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
539,N266JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
540,N266WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
541,N267JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
542,N267WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
543,N268WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
544,N269WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
545,N270WN,SOUTHWEST AIRLINES CO,BOEING,737-705,BOEING,737,BOEING 737,150.0
546,N27152,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
547,N27190,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
548,N271LV,SOUTHWEST AIRLINES CO,BOEING,737-705,BOEING,737,BOEING 737,150.0
549,N27200,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
550,N27205,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
551,N27213,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
552,N27239,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
553,N27246,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
554,N272WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
555,N273JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
556,N273WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
557,N27421,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
558,N27477,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
559,N274JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
560,N274WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
561,N275WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
562,N276WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
563,N27722,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
564,N27724,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
565,N27733,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
566,N27734,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
567,N277WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
568,N278WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
569,N279JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
570,N279WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
571,N280WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
572,N281JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
573,N281WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
574,N282WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
575,N283JB,WELLS FARGO BANK NORTHWEST NA OWNER TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
576,N283WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
577,N28457,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
578,N28478,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
579,N284JB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
580,N284WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
581,N285WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
582,N286WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
583,N287WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
584,N288WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
585,N289CT,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
586,N290WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
587,N291WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
588,N292JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
589,N292WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
590,N293WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
591,N294JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
592,N294WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
593,N295WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
594,N296JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
595,N296WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
596,N29717,UNITED AIRLINES INC,BOEING,737-724,BOEING,737,BOEING 737,150.0
597,N297WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
598,N298JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
599,N298WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
600,N29906,UNITED AIRLINES INC,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
601,N29917,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145LR,EMBRAER,EMB,EMBRAER EMB,51.0
602,N299WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
603,N301DQ,DELTA AIR LINES INC,BOEING,737-732,BOEING,737,BOEING 737,150.0
604,N301FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
605,N301NB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
606,N302DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
607,N302NB,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
608,N303DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
609,N303FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
610,N304DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
611,N304FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
612,N304JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
613,N305DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
614,N305FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
615,N306DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
616,N306JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
617,N307DQ,DELTA AIR LINES INC,BOEING,737-732,BOEING,737,BOEING 737,150.0
618,N307DX,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
619,N307FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
620,N307JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
621,N308DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
622,N308FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
623,N309DE,DELTA AIR LINES INC,BOEING,737-732,BOEING,737,BOEING 737,150.0
624,N309DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
625,N309FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
626,N309JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
627,N309US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
628,N310DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
629,N310FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
630,N310NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
631,N31131,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
632,N311DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
633,N311FR,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A320-251N,AIRBUS,A320,AIRBUS A320,156.0
634,N311US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
635,N312DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
636,N312US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
637,N313DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
638,N313US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
639,N314DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
640,N314NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
641,N314US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
642,N315DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
643,N315NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
644,N315US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
645,N316DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
646,N316JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
647,N316NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
648,N316US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
649,N317DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
650,N317JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
651,N317NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
652,N317US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
653,N317WN,SOUTHWEST AIRLINES CO,BOEING,737-3Q8,BOEING,737,BOEING 737,150.0
654,N318DX,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
655,N318JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
656,N318NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
657,N318US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
658,N319DN,DELTA AIR LINES INC,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
659,N319NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
660,N319US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
661,N320DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
662,N320NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
663,N320US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
664,N321DH,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
665,N321NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
666,N321US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
667,N322DN,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
668,N322NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
669,N322US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
670,N323JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
671,N323NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
672,N323US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
673,N324DX,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS,A321-211,AIRBUS,A321,AIRBUS A321,182.0
674,N324JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
675,N324NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
676,N324US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
677,N325NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
678,N325US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
679,N326NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
680,N326US,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
681,N327NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
682,N327NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
683,N328JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
684,N328NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
685,N328NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
686,N329JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
687,N329NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
688,N329NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
689,N330NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
690,N330NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
691,N33182,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
692,N331NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
693,N331NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
694,N33203,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
695,N33209,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
696,N33262,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
697,N33264,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
698,N33266,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
699,N33284,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
700,N33286,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
701,N33289,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
702,N33292,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
703,N332NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
704,N332NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
705,N333NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
706,N333NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-211,AIRBUS,A320,AIRBUS A320,156.0
707,N334JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
708,N334NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
709,N334NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
710,N335NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
711,N335NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
712,N336NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
713,N336NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
714,N33714,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-724,BOEING,737,BOEING 737,150.0
715,N337JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
716,N337NB,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A319-114,AIRBUS,A319,AIRBUS A319,130.0
717,N337NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
718,N338NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
719,N338NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
720,N339JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
721,N339NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
722,N339NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
723,N340NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
724,N340NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
725,N34110,WELLS FARGO BANK NORTHWEST NA TRUSTEE,EMBRAER,EMB-145XR,EMBRAER,EMB,EMBRAER EMB,51.0
726,N341NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
727,N341NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
728,N34222,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
729,N34282,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
730,N342NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
731,N342NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
732,N343NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
733,N343NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
734,N34455,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
735,N34460,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
736,N344NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
737,N344NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
738,N345NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
739,N345NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
740,N346JB,JETBLUE AIRWAYS CORP,EMBRAER,ERJ 190-100 IGW,EMBRAER,ERJ 190,EMBRAER ERJ 190,99.0
741,N346NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
742,N347NB,DELTA AIR LINES INC,AIRBUS,A319-114,AIRBUS,A319,AIRBUS A319,130.0
743,N347NW,DELTA AIR LINES INC,AIRBUS INDUSTRIE,A320-212,AIRBUS,A320,AIRBUS A320,156.0
