,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
1754,N716EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1755,N716SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1756,N716UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1757,N717EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1758,N717JL,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,717-200,BOEING,717,BOEING 717,116.0
1759,N717SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1760,N717UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1761,N718EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1762,N718SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1763,N718TW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,757-231,BOEING,757,BOEING 757,184.0
1764,N719EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1765,N719SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1766,N720EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1767,N720WN,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1768,N721AA,GAMMAGE COY W,CESSNA,172K,CESSNA,172K,CESSNA 172K,
1769,N721UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1770,N722AA,PARKS BRYAN S,CESSNA,172M,CESSNA,172M,CESSNA 172M,
1771,N722EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1772,N722TW,DELTA AIR LINES INC,BOEING,757-231,BOEING,757,BOEING 757,184.0
1773,N722US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1774,N723EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1775,N723SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1776,N723UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1777,N724AA,SUPERIOR PERFORMERS INC,RAYTHEON AIRCRAFT COMPANY,B200,RAYTHEON,B200,RAYTHEON B200,
1778,N724EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1779,N724SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1780,N724UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1781,N725SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1782,N725UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1783,N726SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1784,N727SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1785,N727TW,WELLS FARGO DELAWARE TRUST CO NA TRUSTEE,BOEING,757-231,BOEING,757,BOEING 757,184.0
1786,N728SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1787,N729JB,JETBLUE AIRWAYS CORP,AIRBUS,A320-232,AIRBUS,A320,AIRBUS A320,156.0
1788,N729SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1789,N730EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1790,N730SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1791,N730US,AMERICAN AIRLINES INC,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1792,N731SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1793,N73251,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1794,N73256,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1795,N73259,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1796,N73270,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1797,N73275,WELLS FARGO BANK NORTHWEST NA TRUSTEE,BOEING,737-824,BOEING,737,BOEING 737,150.0
1798,N73276,UNITED AIRLINES INC,BOEING,737-824,BOEING,737,BOEING 737,150.0
